datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,hopLimit,rxRssi,hopStart
2024-12-17 13:25:58.404588,0x336918e8,,,,,,,6.0,5,-21,5
2024-12-17 13:26:24.644288,0x433b0b38,,,,,,,6.75,5,-14,5
2024-12-17 13:26:37.043766,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 13:26:58.579642,0x336918e8,,,,,,,6.75,5,-23,5
2024-12-17 13:27:24.882426,0x433b0b38,,,,,,,7.25,5,-15,5
2024-12-17 13:27:37.515837,0x433aca0c,,,,,,,6.0,3,-6,3
2024-12-17 13:27:58.778648,0x336918e8,,,,,,,6.5,5,-24,5
2024-12-17 13:28:25.097468,0x433b0b38,,,,,,,7.75,5,-13,5
2024-12-17 13:28:37.483998,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 13:28:58.947695,0x336918e8,,,,,,,6.0,5,-22,5
2024-12-17 13:29:25.342664,0x433b0b38,,,,,,,7.25,5,-14,5
2024-12-17 13:29:37.514085,0x433aca0c,,,,,,,6.25,3,-6,3
2024-12-17 13:29:59.045794,0x336918e8,,,,,,,6.25,5,-24,5
2024-12-17 13:30:26.109672,0x433b0b38,,,,,,,6.25,5,-14,5
2024-12-17 13:30:37.779100,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 13:30:59.226810,0x336918e8,,,,,,,6.25,5,-21,5
2024-12-17 13:31:25.818786,0x433b0b38,,,,,,,6.25,5,-12,5
2024-12-17 13:31:37.880351,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 13:31:59.492997,0x336918e8,,,,,,,6.75,5,-21,5
2024-12-17 13:32:26.215698,0x433b0b38,,,,,,,6.75,5,-14,5
2024-12-17 13:32:38.394187,0x433aca0c,,,,,,,7.0,3,-7,3
2024-12-17 13:32:59.594092,0x336918e8,,,,,,,6.0,5,-18,5
2024-12-17 13:33:26.377203,0x433b0b38,,,,,,,7.0,5,-13,5
2024-12-17 13:33:38.401493,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 13:33:59.691086,0x336918e8,,,,,,,6.5,5,-20,5
2024-12-17 13:34:26.524038,0x433b0b38,,,,,,,6.5,5,-13,5
2024-12-17 13:34:38.562415,0x433aca0c,,,,,,,6.0,3,-7,3
2024-12-17 13:34:59.853168,0x336918e8,,,,,,,6.5,5,-20,5
2024-12-17 13:35:26.882068,0x433b0b38,,,,,,,7.5,5,-14,5
2024-12-17 13:35:38.758601,0x433aca0c,,,,,,,6.5,3,-6,3
2024-12-17 13:36:00.130300,0x336918e8,,,,,,,6.5,5,-20,5
2024-12-17 13:36:27.797254,0x433b0b38,,,,,,,6.5,5,-15,5
2024-12-17 13:36:39.045538,0x433aca0c,,,,,,,6.25,3,-7,3
2024-12-17 13:37:00.234404,0x336918e8,,,,,,,6.25,5,-19,5
